Year,County,Surgery,# of Cases (ICD 10)
2013,Los Angeles,Lung,2
2013,Los Angeles,Colon,10
2013,Los Angeles,Breast,44
2013,Los Angeles,Rectum,13
2013,Los Angeles,Lung,9
2013,Los Angeles,Bladder,1
2013,Los Angeles,Liver,1
2013,Los Angeles,Colon,31
2013,Los Angeles,Breast,143
2013,Los Angeles,Brain,1
2013,Los Angeles,Stomach,5
2013,Los Angeles,Lung,1
2013,Los Angeles,Colon,5
2013,Los Angeles,Breast,6
2013,Los Angeles,Stomach,3
2013,Los Angeles,Prostate,1
2013,Los Angeles,Rectum,21
2013,Los Angeles,Lung,13
2013,Los Angeles,Breast,59
2013,Los Angeles,Colon,31
2013,Los Angeles,Brain,3
2013,Los Angeles,Colon,5
2013,Los Angeles,Prostate,25
2013,Los Angeles,Bladder,1
2013,Los Angeles,Breast,6
2013,Los Angeles,Stomach,3
2013,Los Angeles,Rectum,17
2013,Los Angeles,Prostate,16
2013,Los Angeles,Pancreas,1
2013,Los Angeles,Lung,36
2013,Los Angeles,Liver,2
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Colon,67
2013,Los Angeles,Breast,221
2013,Los Angeles,Brain,18
2013,Los Angeles,Bladder,1
2013,Los Angeles,Rectum,6
2013,Los Angeles,Stomach,5
2013,Los Angeles,Bladder,1
2013,Los Angeles,Brain,7
2013,Los Angeles,Lung,9
2013,Los Angeles,Pancreas,1
2013,Los Angeles,Liver,1
2013,Los Angeles,Colon,32
2013,Los Angeles,Breast,71
2013,Los Angeles,Stomach,2
2013,Los Angeles,Colon,5
2013,Los Angeles,Breast,16
2013,Los Angeles,Rectum,1
2013,Los Angeles,Colon,5
2013,Los Angeles,Breast,17
2013,Los Angeles,Stomach,1
2013,Los Angeles,Stomach,16
2013,Los Angeles,Prostate,176
2013,Los Angeles,Rectum,36
2013,Los Angeles,Pancreas,49
2013,Los Angeles,Liver,43
2013,Los Angeles,Esophagus,23
2013,Los Angeles,Lung,205
2013,Los Angeles,Colon,109
2013,Los Angeles,Breast,652
2013,Los Angeles,Brain,121
2013,Los Angeles,Bladder,28
2013,Los Angeles,Rectum,5
2013,Los Angeles,Stomach,5
2013,Los Angeles,Prostate,45
2013,Los Angeles,Pancreas,4
2013,Los Angeles,Lung,10
2013,Los Angeles,Brain,2
2013,Los Angeles,Bladder,1
2013,Los Angeles,Breast,22
2013,Los Angeles,Colon,22
2013,Los Angeles,Liver,2
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,1
2013,Los Angeles,Colon,1
2013,Los Angeles,Breast,1
2013,Los Angeles,Colon,5
2013,Los Angeles,Breast,3
2013,Los Angeles,Lung,1
2013,Los Angeles,Prostate,19
2013,Los Angeles,Rectum,6
2013,Los Angeles,Lung,11
2013,Los Angeles,Brain,12
2013,Los Angeles,Breast,171
2013,Los Angeles,Stomach,7
2013,Los Angeles,Colon,34
2013,Los Angeles,Stomach,8
2013,Los Angeles,Rectum,13
2013,Los Angeles,Prostate,25
2013,Los Angeles,Pancreas,2
2013,Los Angeles,Lung,18
2013,Los Angeles,Liver,3
2013,Los Angeles,Esophagus,2
2013,Los Angeles,Bladder,5
2013,Los Angeles,Breast,170
2013,Los Angeles,Colon,47
2013,Los Angeles,Brain,10
2013,Los Angeles,Rectum,4
2013,Los Angeles,Stomach,2
2013,Los Angeles,Prostate,67
2013,Los Angeles,Bladder,3
2013,Los Angeles,Breast,45
2013,Los Angeles,Colon,16
2013,Los Angeles,Lung,1
2013,Los Angeles,Brain,8
2013,Los Angeles,Colon,3
2013,Los Angeles,Rectum,1
2013,Los Angeles,Colon,11
2013,Los Angeles,Breast,3
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,1
2013,Los Angeles,Prostate,2
2013,Los Angeles,Colon,4
2013,Los Angeles,Breast,23
2013,Los Angeles,Brain,1
2013,Los Angeles,Lung,1
2013,Los Angeles,Rectum,7
2013,Los Angeles,Prostate,54
2013,Los Angeles,Pancreas,1
2013,Los Angeles,Colon,20
2013,Los Angeles,Breast,119
2013,Los Angeles,Brain,1
2013,Los Angeles,Bladder,8
2013,Los Angeles,Stomach,8
2013,Los Angeles,Breast,3
2013,Los Angeles,Colon,3
2013,Los Angeles,Colon,1
2013,Los Angeles,Stomach,1
2013,Los Angeles,Lung,5
2013,Los Angeles,Rectum,2
2013,Los Angeles,Liver,1
2013,Los Angeles,Breast,35
2013,Los Angeles,Brain,6
2013,Los Angeles,Colon,17
2013,Los Angeles,Breast,211
2013,Los Angeles,Pancreas,9
2013,Los Angeles,Stomach,12
2013,Los Angeles,Rectum,11
2013,Los Angeles,Prostate,8
2013,Los Angeles,Lung,24
2013,Los Angeles,Liver,18
2013,Los Angeles,Colon,54
2013,Los Angeles,Brain,51
2013,Los Angeles,Bladder,1
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,10
2013,Los Angeles,Pancreas,2
2013,Los Angeles,Lung,20
2013,Los Angeles,Liver,1
2013,Los Angeles,Colon,42
2013,Los Angeles,Breast,165
2013,Los Angeles,Brain,12
2013,Los Angeles,Bladder,3
2013,Los Angeles,Prostate,22
2013,Los Angeles,Colon,25
2013,Los Angeles,Stomach,18
2013,Los Angeles,Rectum,12
2013,Los Angeles,Liver,10
2013,Los Angeles,Breast,33
2013,Los Angeles,Prostate,4
2013,Los Angeles,Brain,7
2013,Los Angeles,Bladder,1
2013,Los Angeles,Pancreas,7
2013,Los Angeles,Lung,12
2013,Los Angeles,Stomach,1
